LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2001	0	12058520	1919727	13978247	236326	182376	5110	72	423884	10	9	19	423903	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2002	0	11079965	1672690	12752655	217352	140592	3813	48	361805	9	0	9	361814	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2003	0	11290564	1683979	12974543	212642	139852	3387	65	355946	59	0	59	356005	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2004	0	12082878	1827569	13910447	237673	116985	3056	103	357817	85	0	85	357902	0	12
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2005	0	12455013	1798921	14253934	257583	86238	2567	69	346457	276	11	287	346744	0	12
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2006	0	12826112	1777301	14603413	253721	81397	3584	94	338796	495	8	503	339299	0	7
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2007	0	13128640	1989267	15117907	266284	72686	4233	98	343301	1035	16	1051	344352	0	7
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2008	0	13599682	2375438	15975120	304516	43053	4213	113	351895	0	0	0	351895	0	7
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2009	0	12995622	2241818	15237440	300437	16983	3056	83	320559	0	0	0	320559	0	7
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2010	0	12779410	2438502	15217912	291044	18894	3273	107	313318	0	0	0	313318	0	7
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2011	0	13301074	2566474	15867548	295931	15723	3596	130	315380	0	0	0	315380	0	4
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2012	0	13509492	2571971	16081463	293616	14704	3595	152	312067	0	0	0	312067	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2013	0	13924622	2617581	16542203	295542	13961	3515	83	313101	0	0	0	313101	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2014	0	14490210	2923787	17413997	315600	12674	4056	133	332463	0	0	0	332463	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2015	0	15936935	3695223	19632158	359650	8280	4095	114	372139	0	0	0	372139	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2016	0	17441168	4059363	21500531	393932	10312	3267	106	407617	20	0	20	407637	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2017	0	18327204	4122346	22449550	406575	5170	2178	74	413997	12	0	12	414009	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2018	0	19709309	3992703	23702012	419198	11939	2546	95	433778	0	0	0	433778	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2019	0	20499263	4107420	24606683	438190	4585	2448	80	445303	0	0	0	445303	0	2
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2020	0	10811902	2598491	13410393	323803	3897	1907	163	329770	8	0	8	329778	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2021	1	11758249	2560375	14318624	352785	4226	1260	65	358336	0	0	0	358336	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2022	1	14916926	2786067	17702993	372431	4471	1958	65	378925	0	0	0	378925	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2023	1	18660787	3514742	22175529	428500	4743	2357	65	435665	0	0	0	435665	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2024	1	20288823	3858459	24147282	449253	5054	2369	65	456741	0	0	0	456741	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2025	1	21112180	4034022	25146202	471190	5133	2381	65	478769	0	0	0	478769	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2026	1	21784754	4156504	25941258	493181	5206	2393	65	500845	0	0	0	500845	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2027	1	22462268	4279997	26742265	514151	5280	2405	65	521901	0	0	0	521901	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2028	1	23133561	4402496	27536057	526900	5356	2417	65	534738	0	0	0	534738	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2029	1	23778656	4520158	28298814	538808	5432	2429	65	546734	0	0	0	546734	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2030	1	24425529	4637963	29063492	550546	5510	2442	65	558563	0	0	0	558563	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2031	1	25067826	4755057	29822883	559940	5589	2454	65	568048	0	0	0	568048	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2032	1	25717409	4873742	30591151	569438	5669	2466	65	577638	0	0	0	577638	0	3
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2033	1	26366149	4992058	31358207	578987	5750	2479	65	587281	0	0	0	587281	0	3
